Picture Count,MLS #,Price,Class,Type,Status,County,AddressNew,Address,City,State,Agent - Agent Name,Listing Office 1 - Office Name,Latitude,Longitude
4,118678,0,Residential,Single Family,Withdrawn,Calloway,"2146 State Route 121 North, Murray, KY",2146 State Route 121 North,Murray,KY,Shea Sykes,SBG Real Property Professionals,33.1595005,-82.0382042
1,99539,0,Residential,Single Family,Expired,Ballard,"229 Green Street, Wickliffe, KY",229 Green Street,Wickliffe,KY,Mark Fredrick,1st Ky Realty and Auction,,
1,98723,550,Residential,Single Family,Sold,Christian,"1892 Woodmill Road, Hopkinsville, KY",1892 Woodmill Road,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,56.0706025,-3.4326632
1,98726,550,Residential,Single Family,Sold,Christian,"1910 Beach Street, Hopkinsville, KY",1910 Beach Street,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,,
1,98725,1650,Residential,Single Family,Sold,Christian,"911 E 2nd Street, Hopkinsville, KY",911 E 2nd Street,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,34.0450268,-118.2165831
34,118739,2000,Residential,Single Family,Rented,Calloway,"77 Wells Purdom Dr, Almo, KY",77 Wells Purdom Dr,Almo,KY,Wilma Woods,Loretta Jobs Realty,,
0,98733,2750,Residential,Single Family,Sold,Christian,"1112 E 18th Street, Hopkinsville, KY",1112 E 18th Street,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,32.6701405,-117.0920073
1,98731,3190,Residential,Single Family,Sold,Christian,"317 E 17th Street, Hopkinsville, KY",317 E 17th Street,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,40.7341759,-73.982687
2,116526,4000,Residential,Single Family,Sold,Caldwell,"118 Baldwin, Princeton, KY",118 Baldwin,Princeton,KY,Brandon K Warfield,Keller Williams Experience Realty Eddyville Branch,,
1,99781,4400,Residential,Single Family,Sold,Christian,"1723 COLEMAN AT, Hopkinsville, KY",1723 COLEMAN AT,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,,
1,99782,4400,Residential,Single Family,Sold,Christian,"1122 YOUNGLOVE ST, Hopkinsville, KY",1122 YOUNGLOVE ST,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,36.8663126,-87.47349490000000
1,99788,4975,Residential,Single Family,Sold,Christian,"917 WOOD ST, Hopkinsville, KY",917 WOOD ST,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,,
5,120796,5250,Residential,Single Family,Sold,Christian,"2007 Carl Smith Rd, Hopkinsville, KY",2007 Carl Smith Rd,Hopkinsville,KY,Shulorn Hollowell Jeter,eXp Realty LLC,36.8723085,-87.4655727
1,99774,5500,Residential,Single Family,Sold,Christian,"311 E 22nd Street, Hopkinsville, KY",311 E 22nd Street,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,40.7361903,-73.9789253
1,99784,5800,Residential,Single Family,Sold,Christian,"404 BRYAN ST, Hopkinsville, KY",404 BRYAN ST,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,32.7955812,-96.7834434
1,93403,6400,Residential,Single Family,Sold,Ballard,"1158 Beech Grove Road, Wickliffe, KY",1158 Beech Grove Road,Wickliffe,KY,Janie Jones,Purchase Realty Group,54.9675092,-1.6392089
1,98724,7150,Residential,Single Family,Sold,Christian,"116 S Virginia Street, Hopkinsville, KY",116 S Virginia Street,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,,
1,98072,8000,Residential,Single Family,Sold,Caldwell,"10779 Dawson Road, Princeton, KY",10779 Dawson Road,Princeton,KY,Ryals Farless,Farless Realty,48.4974108,-89.4211696
1,88509,8500,Residential,Single Family,Sold,Caldwell,"504 Maple Ave., Princeton, KY",504 Maple Ave.,Princeton,KY,Shulorn Hollowell Jeter,C21 Service Realty,,
1,105999,8500,Residential,Single Family,Sold,Calloway,"304 S 11th Street, Murray, KY",304 S 11th Street,Murray,KY,Lynda Houck,Greys Properties LLC,40.7387766,-74.2022222
1,90475,8900,Residential,Single Family,Sold,Ballard,"1023 Clyde Elrod Rd, Kevil, KY",1023 Clyde Elrod Rd,Kevil,KY,Beth Miller,Greys Properties LLC,37.0842659,-88.88603740000000
1,90442,9000,Residential,Single Family,Sold,Christian,"307 N Legion Circle, Hopkinsville, KY",307 N Legion Circle,Hopkinsville,KY,*Not in *Regional MLS,*Not in Regional MLS,,
1,96583,9630,Residential,Single Family,Sold,Christian,"1212 Sharpe St, Hopkinsville, KY",1212 Sharpe St,Hopkinsville,KY,Michael Harris,Harris Real Estate & Auction,41.6501406,-71.6784636
1,90110,9900,Residential,Single Family,Withdrawn,Christian,"307 N Legion, Hopkinsville, KY",307 N Legion,Hopkinsville,KY,Melody Holder,Re/Max Southern Charm,42.8565507,-78.8158364
1,99780,10000,Residential,Single Family,Sold,Christian,"1009 East 18TH ST, Hopkinsville, KY",1009 East 18TH ST,Hopkinsville,KY,Joshua D Abner,Atlas Real Estate & Auction Services,37.7919207,-122.2428321
1,90109,10000,Residential,Single Family,Withdrawn,Christian,"105 N Elm, Christian Co, KY",105 N Elm,Christian Co,KY,Melody Holder,Re/Max Southern Charm,,
1,96056,10000,Residential,Single Family,Sold,Carlisle,"5478 S US 51, Arlington, KY",5478 S US 51,Arlington,KY,Deana C O'Neal,Bone & Co. Realtors,36.7952302,-89.01320920000000
1,89164,10000,Residential,Single Family,Sold,Calloway,"10245 E st rt 94, Murray, KY",10245 E st rt 94,Murray,KY,Max Witzler,Keller Williams Experience Realty,,
1,90333,10500,Residential,Single Family,Withdrawn,Caldwell,"205 S McNary St, Princeton, KY",205 S McNary St,Princeton,KY,Keanu C Murphy,Trifecta Real Estate Services,37.1118217,-87.8906494
1,97918,11000,Residential,Single Family,Sold,Calloway,"8299 E State Line Road, Hazel, KY",8299 E State Line Road,Hazel,KY,Michael Harris,Harris Real Estate & Auction,40.00133540000000,-96.6525052
